BioSample,Sample,Run,ISOLATION_LOCATION,DB_OF_ORIGIN,TESTING_LOCATION,STUDY_NAME,STUDY_PMID,MEDIA,INH,RIF,RFB,EMB,STM,ETH,CIP,CYS,CAP,KAN,OFX,PAS,PZA,AMI,MXF,PRO,CFZ,LEV,CLAR,GATI,AMOXCLAV,LZD,Platform,TaxID,ScientificName,LoadDate,ReleaseDate,Combined_Runs,Num_Runs,TDR_Sample
SAMEA10029749,ERS7707957,ERR7910843,,IS-1007_reseqTB,,IS_1007,,MGIT,3.0,20.0,,,,,,,2.5,,,,,,0.125,,,<=0.188,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-07-19 20:36:11,2022-01-06 03:22:29,ERR7910843,1,nan
SAMEA10029750,ERS7707958,ERR7910844,,IS-1007_reseqTB,,IS_1007,,MGIT,,>20,,,,,,,1.25,,,,,,<=0.063,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-07-28 01:20:06,2022-01-06 03:22:29,"ERR7910844,ERR7910845",2,nan
SAMEA10029750,ERS7707958,ERR7910845,,IS-1007_reseqTB,,IS_1007,,MGIT,,>20,,,,,,,1.25,,,,,,<=0.063,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-07-13 18:49:46,2022-01-06 03:22:29,"ERR7910844,ERR7910845",2,nan
SAMEA10029751,ERS7707959,ERR7910846,,IS-1007_reseqTB,,IS_1007,,MGIT,0.4,,,,,,,,,,,,,1.0,,,,0.375,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-07-19 21:53:54,2022-01-06 03:22:29,ERR7910846,1,nan
SAMEA10029753,ERS7707961,ERR7910847,,IS-1007_reseqTB,,IS_1007,,MGIT,,<=0.125,,,,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-07-28 01:20:29,2022-01-06 03:22:29,"ERR7910847,ERR7910848",2,nan
SAMEA10029753,ERS7707961,ERR7910848,,IS-1007_reseqTB,,IS_1007,,MGIT,,<=0.125,,,,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-07-20 01:02:31,2022-01-06 03:22:29,"ERR7910847,ERR7910848",2,nan
SAMEA10029755,ERS7707963,ERR7910849,,IS-1007_reseqTB,,IS_1007,,MGIT,10.0,,,,,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-07-22 09:43:54,2022-01-06 03:22:29,ERR7910849,1,nan
SAMEA10029761,ERS7707969,ERR7910854,,IS-1007_reseqTB,,IS_1007,,MGIT,0.025,,,,,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-07-28 01:21:28,2022-01-06 03:22:29,ERR7910854,1,nan
SAMEA10029767,ERS7707975,ERR7910858,,IS-1007_reseqTB,,IS_1007,,MGIT,,,,,,,,,,>25,,,,>40,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-07-28 01:20:50,2022-01-06 03:22:29,ERR7910858,1,nan
SAMEA10029771,ERS7707979,ERR7910862,,IS-1007_reseqTB,,IS_1007,,MGIT,,,,,,,,,5.0,,,,,4.0,,,,0.75,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-07-19 20:37:05,2022-01-06 03:22:29,ERR7910862,1,nan
SAMEA10029785,ERS7707993,ERR7910870,,IS-1007_reseqTB,,IS_1007,,MGIT,,,,,,,,,,,,,,,,,,7.5,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-07-28 01:21:03,2022-01-06 03:22:29,ERR7910870,1,nan
SAMEA10029795,ERS7708003,ERR7910879,,IS-1007_reseqTB,,IS_1007,,MGIT,,,,,,,,,12.5,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-07-14 21:58:09,2022-01-06 03:22:29,ERR7910879,1,nan
SAMEA10029800,ERS7708008,ERR7910883,,IS-1007_reseqTB,,IS_1007,,MGIT,,,,,,,,,0.625,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-07-20 19:10:29,2022-01-06 03:22:29,ERR7910883,1,nan
SAMEA10029809,ERS7708017,ERR7910891,,IS-1007_reseqTB,,IS_1007,,MGIT,0.05,,,,,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-07-19 18:38:41,2022-01-06 03:22:30,ERR7910891,1,nan
SAMEA10029856,ERS7708064,ERR7911103,,IS-1007_reseqTB,,IS_1007,,MGIT,,,,,,,,,,,,,,0.25,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-05-09 05:48:03,2022-01-06 03:22:31,ERR7911103,1,nan
SAMEA10029867,ERS7708075,ERR7911114,,IS-1007_reseqTB,,IS_1007,,MGIT,,,,,,,,,,,,,,,,,,1.5,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-05-09 05:50:03,2022-01-06 03:22:31,ERR7911114,1,nan
SAMEA10029875,ERS7708083,ERR7911122,,IS-1007_reseqTB,,IS_1007,,MGIT,>10,,,,,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-05-09 05:49:08,2022-01-06 03:22:31,ERR7911122,1,nan
SAMEA10029885,ERS7708093,ERR7911132,,IS-1007_reseqTB,,IS_1007,,MGIT,<=0.0125,,,,,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-05-09 05:49:13,2022-01-06 03:22:31,ERR7911132,1,nan
SAMEA10029903,ERS7708111,ERR7911149,,IS-1007_reseqTB,,IS_1007,,MGIT,0.1,,,,,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-05-09 05:48:55,2022-01-06 03:22:31,ERR7911149,1,nan
SAMEA10029932,ERS7708140,ERR7911326,,IS-1007_reseqTB,,IS_1007,,MGIT,,,,,,,,,,25.0,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2022-05-09 05:50:32,2022-01-06 03:22:32,ERR7911326,1,nan
SAMEA3231526,ERS652748,ERR757147,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,5,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-13 21:36:00,2015-02-13 21:33:30,ERR757147,1,nan
SAMEA3231537,ERS652759,ERR757164,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,10,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-13 21:43:53,2015-02-13 21:33:55,ERR757164,1,nan
SAMEA3231547,ERS652769,ERR757174,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-13 21:39:55,2015-02-13 21:33:54,ERR757174,1,nan
SAMEA3231557,ERS652779,ERR757184,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,40,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-13 21:36:51,2015-02-13 21:33:56,ERR757184,1,nan
SAMEA3231565,ERS652787,ERR760811,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:13:46,2015-02-19 08:27:37,ERR760811,1,nan
SAMEA3231578,ERS652800,ERR760824,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,10,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:10:58,2015-02-19 08:27:30,ERR760824,1,nan
SAMEA3231591,ERS652813,ERR760837,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:03:57,2015-02-19 08:27:34,ERR760837,1,nan
SAMEA3231592,ERS652814,ERR760838,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:03:57,2015-02-19 08:27:34,ERR760838,1,nan
SAMEA3231593,ERS652815,ERR760839,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:03:12,2015-02-19 08:27:35,ERR760839,1,nan
SAMEA3231595,ERS652817,ERR760841,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,20,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:03:00,2015-02-19 08:27:35,ERR760841,1,nan
SAMEA3231600,ERS652822,ERR760846,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:00:55,2015-02-19 08:27:34,ERR760846,1,nan
SAMEA3231601,ERS652823,ERR760847,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:00:38,2015-02-19 08:27:34,ERR760847,1,nan
SAMEA3231602,ERS652824,ERR760848,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:00:30,2015-02-19 08:27:34,ERR760848,1,nan
SAMEA3231604,ERS652826,ERR760850,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:58:52,2015-02-19 08:27:35,ERR760850,1,nan
SAMEA3231605,ERS652827,ERR760851,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:58:59,2015-02-19 08:27:36,ERR760851,1,nan
SAMEA3231606,ERS652828,ERR760852,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:59:01,2015-02-19 08:27:29,ERR760852,1,nan
SAMEA3231609,ERS652831,ERR760855,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:57:10,2015-02-19 08:27:36,ERR760855,1,nan
SAMEA3231610,ERS652832,ERR760856,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:55:20,2015-02-19 08:27:38,ERR760856,1,nan
SAMEA3231613,ERS652835,ERR760859,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:55:23,2015-02-19 08:27:31,ERR760859,1,nan
SAMEA3231616,ERS652838,ERR760862,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:53:07,2015-02-19 08:27:31,ERR760862,1,nan
SAMEA3231617,ERS652839,ERR760863,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:53:52,2015-02-19 08:27:30,ERR760863,1,nan
SAMEA3231618,ERS652840,ERR760864,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:53:51,2015-02-19 08:27:29,ERR760864,1,nan
SAMEA3231619,ERS652841,ERR760865,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:53:56,2015-02-19 08:27:31,ERR760865,1,nan
SAMEA3231620,ERS652842,ERR760866,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:54:48,2015-02-19 08:27:31,ERR760866,1,nan
SAMEA3231622,ERS652844,ERR760868,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:51:59,2015-02-19 08:27:31,ERR760868,1,nan
SAMEA3231624,ERS652846,ERR760870,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:53:09,2015-02-19 08:27:31,ERR760870,1,nan
SAMEA3231625,ERS652847,ERR760871,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:49:02,2015-02-19 08:27:32,ERR760871,1,nan
SAMEA3231628,ERS652850,ERR760874,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,2.5,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:46:41,2015-02-19 08:27:30,ERR760874,1,nan
SAMEA3231629,ERS652851,ERR760875,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,2.5,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:46:42,2015-02-19 08:27:33,ERR760875,1,nan
SAMEA3231630,ERS652852,ERR760876,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:45:34,2015-02-19 08:27:33,ERR760876,1,nan
SAMEA3231634,ERS652856,ERR760880,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:44:18,2015-02-19 08:27:36,ERR760880,1,nan
SAMEA3231636,ERS652858,ERR760882,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,2.5,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:43:11,2015-02-19 08:27:33,ERR760882,1,nan
SAMEA3231640,ERS652862,ERR760886,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,5,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:42:02,2015-02-19 08:27:33,ERR760886,1,nan
SAMEA3231641,ERS652863,ERR760887,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,2.5,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 08:42:01,2015-02-19 08:27:30,ERR760887,1,nan
SAMEA3231646,ERS652868,ERR760599,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-18 12:56:21,2015-02-18 12:50:50,ERR760599,1,nan
SAMEA3231649,ERS652871,ERR760602,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-18 12:59:53,2015-02-18 12:50:51,ERR760602,1,nan
SAMEA3231651,ERS652873,ERR760604,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-18 12:55:10,2015-02-18 12:50:51,ERR760604,1,nan
SAMEA3231654,ERS652876,ERR760607,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,20,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-18 12:56:39,2015-02-18 12:50:51,ERR760607,1,nan
SAMEA3231655,ERS652877,ERR760608,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-18 12:54:56,2015-02-18 12:50:51,ERR760608,1,nan
SAMEA3231656,ERS652878,ERR760609,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-18 12:54:57,2015-02-18 12:50:51,ERR760609,1,nan
SAMEA3231657,ERS652879,ERR760610,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-18 12:54:52,2015-02-18 12:50:51,ERR760610,1,nan
SAMEA3231658,ERS652880,ERR760611,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,10,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-18 12:54:26,2015-02-18 12:50:52,ERR760611,1,nan
SAMEA3231660,ERS652882,ERR760731,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:36:30,2015-02-19 08:26:02,ERR760731,1,nan
SAMEA3231661,ERS652883,ERR760732,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:35:32,2015-02-19 08:26:02,ERR760732,1,nan
SAMEA3231662,ERS652884,ERR760733,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:33:41,2015-02-19 08:26:02,ERR760733,1,nan
SAMEA3231663,ERS652885,ERR760734,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,2.5,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:33:27,2015-02-19 08:26:02,ERR760734,1,nan
SAMEA3231665,ERS652887,ERR760736,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:32:52,2015-02-19 08:26:01,ERR760736,1,nan
SAMEA3231666,ERS652888,ERR760737,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,5,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:32:51,2015-02-19 08:26:03,ERR760737,1,nan
SAMEA3231667,ERS652889,ERR760738,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:31:40,2015-02-19 08:26:02,ERR760738,1,nan
SAMEA3231670,ERS652892,ERR760741,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:31:08,2015-02-19 08:26:01,ERR760741,1,nan
SAMEA3231672,ERS652894,ERR760743,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:31:04,2015-02-19 08:26:03,ERR760743,1,nan
SAMEA3231676,ERS652898,ERR760747,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:29:46,2015-02-19 08:26:03,ERR760747,1,nan
SAMEA3231678,ERS652900,ERR760749,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:29:37,2015-02-19 08:26:03,ERR760749,1,nan
SAMEA3231680,ERS652902,ERR760751,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:28:45,2015-02-19 08:26:03,ERR760751,1,nan
SAMEA3231681,ERS652903,ERR760752,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:27:59,2015-02-19 08:25:59,ERR760752,1,nan
SAMEA3231682,ERS652904,ERR760753,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:28:09,2015-02-19 08:25:59,ERR760753,1,nan
SAMEA3231685,ERS652907,ERR760756,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:28:18,2015-02-19 08:26:03,ERR760756,1,nan
SAMEA3231688,ERS652910,ERR760759,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:28:29,2015-02-19 08:26:04,ERR760759,1,nan
SAMEA3231690,ERS652912,ERR760761,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:26:01,2015-02-19 08:26:04,ERR760761,1,nan
SAMEA3231691,ERS652913,ERR760762,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,10,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:26:05,2015-02-19 08:25:59,ERR760762,1,nan
SAMEA3231692,ERS652914,ERR760763,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:23:51,2015-02-19 08:26:04,ERR760763,1,nan
SAMEA3231694,ERS652916,ERR760765,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:23:49,2015-02-19 08:26:00,ERR760765,1,nan
SAMEA3231695,ERS652917,ERR760766,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:22:54,2015-02-19 08:26:04,ERR760766,1,nan
SAMEA3231697,ERS652919,ERR760768,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:21:34,2015-02-19 08:26:04,ERR760768,1,nan
SAMEA3231709,ERS652931,ERR760779,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,10,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:22:37,2015-02-19 08:26:00,ERR760779,1,nan
SAMEA3231712,ERS652934,ERR760782,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:19:34,2015-02-19 08:26:00,ERR760782,1,nan
SAMEA3231713,ERS652935,ERR760783,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,2.5,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:21:07,2015-02-19 08:25:58,ERR760783,1,nan
SAMEA3231716,ERS652938,ERR760785,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,20,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:21:12,2015-02-19 08:26:01,ERR760785,1,nan
SAMEA3231717,ERS652939,ERR760786,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:19:35,2015-02-19 08:26:04,ERR760786,1,nan
SAMEA3231718,ERS652940,ERR760787,,PATRIC_20191206,Not specified in paper,Eldholm Nat Comm 2015,25960343.0,7H9,,,,,,<1.25,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-02-19 09:19:07,2015-02-19 08:25:58,ERR760787,1,nan
